2025-09-02 10:17:00 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:93 : ----------------------------------------------------------------------------------------------------
2025-09-02 10:17:00 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:94 : 
************************************************************************************************************************
2025-09-02 10:33:02 | INFO | data_collector.py:34 : 
************************************************************************************************************************
2025-09-02 10:33:02 | INFO | data_collector.py:35 : 开始采集：tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品_202509
2025-09-02 10:33:02 | INFO | data_collector.py:36 : 接收到的命令行参数: ['C:\\Users\\admin\\Desktop\\yiyuan_spider\\淘系_淘宝联盟\\tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py']
2025-09-02 10:33:02 | INFO | data_collector.py:67 : 采集日期列表['2025-09-01'],采集店铺['林内官方旗舰店']
2025-09-02 10:33:02 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第1页数据
2025-09-02 10:33:04 | INFO | extra_reqlog.py:12 : 在<frame at 0x000001E0800E2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:33:04 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第1获取成功！！！
2025-09-02 10:33:04 | INFO | database_manager.py:95 : 【tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品_202509】不存在,为您重新创建: (1146, "Table 'yiyuan_test.tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品_202509' doesn't exist")
2025-09-02 10:33:04 | INFO | database_manager.py:159 : 表 `tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品_202509` 创建成功
2025-09-02 10:33:04 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:99 : ----------------------------------------------------------------------------------------------------
2025-09-02 10:33:04 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:100 : 
************************************************************************************************************************
2025-09-02 10:38:08 | INFO | data_collector.py:34 : 
************************************************************************************************************************
2025-09-02 10:38:08 | INFO | data_collector.py:35 : 开始采集：tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品_202509
2025-09-02 10:38:08 | INFO | data_collector.py:36 : 接收到的命令行参数: ['C:\\Users\\admin\\Desktop\\yiyuan_spider\\淘系_淘宝联盟\\tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py']
2025-09-02 10:38:08 | INFO | data_collector.py:67 : 采集日期列表['2025-09-01'],采集店铺['林内官方旗舰店']
2025-09-02 10:38:08 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第1页数据
2025-09-02 10:38:10 | INFO | extra_reqlog.py:12 : 在<frame at 0x000002277F47A640, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:38:10 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第1获取成功！！！
