2025-12-05 14:23:35 | INFO | tb_tk_淘宝联盟_数据分析_定向计划报表_分天明细_202509.py:36 : 林内热水器旗舰店,['2025-12-04', '2025-12-03', '2025-12-02', '2025-12-01', '2025-11-30', '2025-11-29', '2025-11-28', '2025-11-27', '2025-11-26', '2025-11-25', '2025-11-24', '2025-11-23', '2025-11-22', '2025-11-21', '2025-11-20', '2025-11-19', '2025-11-18', '2025-11-17', '2025-11-16', '2025-11-15', '2025-11-14', '2025-11-13', '2025-11-12', '2025-11-11', '2025-11-10', '2025-11-09', '2025-11-08', '2025-11-07', '2025-11-06', '2025-11-05']已入库
2025-12-05 14:23:35 | INFO | tb_tk_淘宝联盟_数据分析_定向计划报表_分天明细_202509.py:37 : ----------------------------------------------------------------------------------------------------
2025-12-05 14:23:35 | INFO | tb_tk_淘宝联盟_数据分析_定向计划报表_分天明细_202509.py:38 : 
************************************************************************************************************************
2025-12-05 14:23:37 | INFO | select_shop_date.py:34 :
************************************************************************************************************************
2025-12-05 14:23:37 | INFO | select_shop_date.py:35 : 开始采集：tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品_202509
2025-12-05 14:23:37 | INFO | select_shop_date.py:36 : 接收到的命令行参数: ['C:\\Users\\admin\\Desktop\\yiyuan_spider\\执行脚本\\淘系_淘宝联盟\\tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py']
2025-12-05 14:23:37 | INFO | select_shop_date.py:67 : 采集日期列表['2025-12-04'],采集店铺['林内热水器旗舰店', '林内官方旗舰店']
2025-12-05 14:23:37 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:81 : 正常采集第1页数据
2025-12-05 14:23:37 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000019B6A699440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\API\\API_TaoKe\\API_TaoKe_MyProducts.py', line 45, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-12-05 14:23:37 | SUCCESS | API_TaoKe_MyProducts.py:46 : 第1获取成功！！！
